question1,question2,label,category
刚检查说尿糖4个加号，是严重的糖尿病吗,十几年继发性糖尿病切除垂体瘤后怎么调整胰岛素,0,diabetes
乳房有肿块是不是乳腺癌,乳房有肿块很痛是不是乳腺癌,1,breast_cancer
您好，高血压病人适合喝一点什么茶？玉米,原发性高血压如何治疗补充提问,0,hypertension
糖尿病患者适合做哪些运动？,糖尿病引起的白内障如何治疗,0,diabetes
乳腺癌中期有什么症状,乳腺癌会有什么症状呢？,0,breast_cancer
监测了血糖想知道是不是糖尿病？应该怎么,血糖和血脂怎么自会的糖尿病吗,0,diabetes
乳腺癌转移淋巴结能治愈吗癌,乳腺癌淋巴结转移可以治疗好吗,1,breast_cancer
三高的糖尿病人能否献血，,请问糖尿病人能献血吗？,1,diabetes
汉中成年人接种乙肝疫苗收费吗,现在乙肝疫苗多少钱，小孩进口疫苗一针多少钱,1,hepatitis
糖耐量受损是不是就是糖尿病？,糖耐量受损后不能恢复正常吗,1,diabetes
我是否得糖尿病,怎样知道自己是否得了糖尿病？,1,diabetes
胰岛素抵抗,胰岛素抵抗的定义,1,diabetes
高血压是由什么病因引起的？,问，为什么会得高血压？,1,hypertension
男33岁有乙肝小山羊可以喝药酒吗龟头子和枸杞泡酒,药酒能治疗乙肝吗,1,hepatitis
带套不带套性交做爱感染艾滋病的几率分别多大,和艾滋病男友做爱没带套能传染吗,0,aids
艾滋病会传染吗,这个情况会传染艾滋病吗,1,aids
乳腺癌晚期治疗偏方,乳腺癌晚期的偏方能治好吗,0,breast_cancer
